condition,episode_index,episode_seed,success,steps,target_calls,target_rate,hold_1_count,hold_2_count
low_discrepancy_linear,49,49448,1,69,28,0.4057971014492754,27,14
low_discrepancy_critical,0,7,1,98,39,0.3979591836734694,39,20
low_discrepancy_critical,1,1016,1,102,41,0.4019607843137255,41,20
low_discrepancy_critical,2,2025,1,99,40,0.40404040404040403,39,20
low_discrepancy_critical,3,3034,1,214,86,0.40186915887850466,85,43
low_discrepancy_critical,4,4043,1,92,37,0.40217391304347827,37,18
low_discrepancy_critical,5,5052,1,93,37,0.3978494623655914,37,19
low_discrepancy_critical,6,6061,1,78,31,0.3974358974358974,31,16
low_discrepancy_critical,7,7070,1,99,40,0.40404040404040403,39,20
low_discrepancy_critical,8,8079,1,104,42,0.40384615384615385,41,21
low_discrepancy_critical,9,9088,1,101,41,0.40594059405940597,40,20
low_discrepancy_critical,10,10097,0,220,88,0.4,88,44
low_discrepancy_critical,11,11106,1,93,37,0.3978494623655914,37,19
low_discrepancy_critical,12,12115,1,103,41,0.39805825242718446,41,21
low_discrepancy_critical,13,13124,0,220,88,0.4,88,44
low_discrepancy_critical,14,14133,1,96,39,0.40625,38,19
low_discrepancy_critical,15,15142,1,92,37,0.40217391304347827,37,18
low_discrepancy_critical,16,16151,1,145,58,0.4,58,29
low_discrepancy_critical,17,17160,1,80,32,0.4,32,16
low_discrepancy_critical,18,18169,0,220,88,0.4,88,44
low_discrepancy_critical,19,19178,1,91,37,0.4065934065934066,36,18
low_discrepancy_critical,20,20187,1,105,42,0.4,42,21
low_discrepancy_critical,21,21196,1,88,35,0.3977272727272727,35,18
low_discrepancy_critical,22,22205,1,104,42,0.40384615384615385,41,21
low_discrepancy_critical,23,23214,1,84,34,0.40476190476190477,33,17
low_discrepancy_critical,24,24223,1,104,42,0.40384615384615385,41,21
low_discrepancy_critical,25,25232,1,79,32,0.4050632911392405,31,16
low_discrepancy_critical,26,26241,1,117,47,0.4017094017094017,47,23
low_discrepancy_critical,27,27250,1,175,70,0.4,70,35
low_discrepancy_critical,28,28259,1,148,59,0.39864864864864863,59,30
low_discrepancy_critical,29,29268,1,72,29,0.4027777777777778,29,14
low_discrepancy_critical,30,30277,1,93,37,0.3978494623655914,37,19
low_discrepancy_critical,31,31286,0,220,88,0.4,88,44
low_discrepancy_critical,32,32295,0,220,88,0.4,88,44
low_discrepancy_critical,33,33304,1,104,42,0.40384615384615385,41,21
low_discrepancy_critical,34,34313,1,83,33,0.39759036144578314,33,17
low_discrepancy_critical,35,35322,0,220,88,0.4,88,44
low_discrepancy_critical,36,36331,1,83,33,0.39759036144578314,33,17
low_discrepancy_critical,37,37340,1,102,41,0.4019607843137255,41,20
low_discrepancy_critical,38,38349,1,94,38,0.40425531914893614,37,19
low_discrepancy_critical,39,39358,1,89,36,0.4044943820224719,35,18
low_discrepancy_critical,40,40367,1,87,35,0.40229885057471265,35,17
low_discrepancy_critical,41,41376,1,88,35,0.3977272727272727,35,18
low_discrepancy_critical,42,42385,1,148,59,0.39864864864864863,59,30
low_discrepancy_critical,43,43394,1,93,37,0.3978494623655914,37,19
low_discrepancy_critical,44,44403,1,84,34,0.40476190476190477,33,17
low_discrepancy_critical,45,45412,1,80,32,0.4,32,16
low_discrepancy_critical,46,46421,1,87,35,0.40229885057471265,35,17
low_discrepancy_critical,47,47430,0,220,88,0.4,88,44
low_discrepancy_critical,48,48439,1,86,35,0.4069767441860465,34,17
low_discrepancy_critical,49,49448,1,78,31,0.3974358974358974,31,16
max_concentration_linear,0,7,1,98,39,0.3979591836734694,39,20
max_concentration_linear,1,1016,1,95,38,0.4,38,19
max_concentration_linear,2,2025,1,76,30,0.39473684210526316,30,16
max_concentration_linear,3,3034,1,106,42,0.39622641509433965,42,22
max_concentration_linear,4,4043,1,79,32,0.4050632911392405,31,16
max_concentration_linear,5,5052,1,135,54,0.4,54,27
max_concentration_linear,6,6061,1,87,35,0.40229885057471265,34,18
max_concentration_linear,7,7070,0,220,88,0.4,88,44
max_concentration_linear,8,8079,1,94,38,0.40425531914893614,37,19
max_concentration_linear,9,9088,1,106,42,0.39622641509433965,42,22
max_concentration_linear,10,10097,0,220,88,0.4,88,44
max_concentration_linear,11,11106,0,220,88,0.4,88,44
max_concentration_linear,12,12115,1,172,69,0.4011627906976744,69,34
max_concentration_linear,13,13124,0,220,88,0.4,88,44
max_concentration_linear,14,14133,1,92,37,0.40217391304347827,37,18
max_concentration_linear,15,15142,1,85,34,0.4,34,17
max_concentration_linear,16,16151,1,103,41,0.39805825242718446,41,21
max_concentration_linear,17,17160,1,150,60,0.4,60,30
max_concentration_linear,18,18169,1,90,36,0.4,36,18
max_concentration_linear,19,19178,1,69,28,0.4057971014492754,27,14
max_concentration_linear,20,20187,1,87,35,0.40229885057471265,34,18
max_concentration_linear,21,21196,1,71,29,0.4084507042253521,28,14
max_concentration_linear,22,22205,1,97,39,0.4020618556701031,38,20
max_concentration_linear,23,23214,1,74,30,0.40540540540540543,29,15
max_concentration_linear,24,24223,1,85,34,0.4,34,17
max_concentration_linear,25,25232,1,78,31,0.3974358974358974,31,16
max_concentration_linear,26,26241,0,220,88,0.4,88,44
max_concentration_linear,27,27250,1,128,51,0.3984375,51,26
max_concentration_linear,28,28259,1,92,37,0.40217391304347827,37,18
max_concentration_linear,29,29268,1,78,31,0.3974358974358974,31,16
max_concentration_linear,30,30277,1,78,31,0.3974358974358974,31,16
max_concentration_linear,31,31286,1,105,42,0.4,42,21
max_concentration_linear,32,32295,0,220,88,0.4,88,44
max_concentration_linear,33,33304,1,83,33,0.39759036144578314,33,17
max_concentration_linear,34,34313,1,74,30,0.40540540540540543,29,15
max_concentration_linear,35,35322,0,220,88,0.4,88,44
max_concentration_linear,36,36331,1,78,31,0.3974358974358974,31,16
max_concentration_linear,37,37340,1,89,36,0.4044943820224719,35,18
max_concentration_linear,38,38349,0,220,88,0.4,88,44
max_concentration_linear,39,39358,1,72,29,0.4027777777777778,29,14
max_concentration_linear,40,40367,1,95,38,0.4,38,19
max_concentration_linear,41,41376,1,100,40,0.4,40,20
max_concentration_linear,42,42385,1,92,37,0.40217391304347827,37,18
max_concentration_linear,43,43394,1,84,34,0.40476190476190477,33,17
max_concentration_linear,44,44403,1,71,29,0.4084507042253521,28,14
max_concentration_linear,45,45412,0,220,88,0.4,88,44
max_concentration_linear,46,46421,0,220,88,0.4,88,44
max_concentration_linear,47,47430,0,220,88,0.4,88,44
max_concentration_linear,48,48439,1,78,31,0.3974358974358974,31,16
max_concentration_linear,49,49448,1,73,29,0.3972602739726027,29,15
max_concentration_critical,0,7,0,220,88,0.4,88,44
max_concentration_critical,1,1016,0,220,88,0.4,88,44
max_concentration_critical,2,2025,1,94,38,0.40425531914893614,37,19
max_concentration_critical,3,3034,1,185,74,0.4,74,37
max_concentration_critical,4,4043,1,90,36,0.4,36,18
max_concentration_critical,5,5052,1,94,38,0.40425531914893614,37,19
max_concentration_critical,6,6061,1,93,37,0.3978494623655914,37,19
max_concentration_critical,7,7070,1,94,38,0.40425531914893614,37,19
max_concentration_critical,8,8079,1,105,42,0.4,42,21
max_concentration_critical,9,9088,1,91,37,0.4065934065934066,36,18
max_concentration_critical,10,10097,1,115,46,0.4,46,23
max_concentration_critical,11,11106,1,81,33,0.4074074074074074,32,16
max_concentration_critical,12,12115,1,91,37,0.4065934065934066,36,18
max_concentration_critical,13,13124,0,220,88,0.4,88,44
max_concentration_critical,14,14133,1,96,38,0.3958333333333333,38,20
max_concentration_critical,15,15142,1,92,37,0.40217391304347827,37,18
max_concentration_critical,16,16151,1,97,39,0.4020618556701031,38,20
max_concentration_critical,17,17160,1,82,33,0.4024390243902439,33,16
max_concentration_critical,18,18169,1,104,42,0.40384615384615385,41,21
max_concentration_critical,19,19178,1,97,39,0.4020618556701031,38,20
max_concentration_critical,20,20187,1,90,36,0.4,36,18
max_concentration_critical,21,21196,1,79,32,0.4050632911392405,31,16
max_concentration_critical,22,22205,1,95,38,0.4,38,19
max_concentration_critical,23,23214,1,98,39,0.3979591836734694,39,20
max_concentration_critical,24,24223,1,86,34,0.3953488372093023,34,18
max_concentration_critical,25,25232,1,84,34,0.40476190476190477,33,17
max_concentration_critical,26,26241,1,99,40,0.40404040404040403,39,20
max_concentration_critical,27,27250,1,154,62,0.4025974025974026,61,31
max_concentration_critical,28,28259,1,89,36,0.4044943820224719,35,18
max_concentration_critical,29,29268,1,87,35,0.40229885057471265,34,18
max_concentration_critical,30,30277,1,91,37,0.4065934065934066,36,18
max_concentration_critical,31,31286,1,113,45,0.39823008849557523,45,23
max_concentration_critical,32,32295,0,220,88,0.4,88,44
max_concentration_critical,33,33304,0,220,88,0.4,88,44
max_concentration_critical,34,34313,1,72,29,0.4027777777777778,29,14
max_concentration_critical,35,35322,0,220,88,0.4,88,44
max_concentration_critical,36,36331,1,87,35,0.40229885057471265,34,18
max_concentration_critical,37,37340,1,106,42,0.39622641509433965,42,22
max_concentration_critical,38,38349,1,96,38,0.3958333333333333,38,20
max_concentration_critical,39,39358,1,75,30,0.4,30,15
max_concentration_critical,40,40367,1,79,32,0.4050632911392405,31,16
max_concentration_critical,41,41376,1,129,52,0.40310077519379844,51,26
max_concentration_critical,42,42385,1,89,36,0.4044943820224719,35,18
max_concentration_critical,43,43394,1,96,38,0.3958333333333333,38,20
max_concentration_critical,44,44403,1,84,34,0.40476190476190477,33,17
max_concentration_critical,45,45412,1,83,33,0.39759036144578314,33,17
max_concentration_critical,46,46421,1,93,37,0.3978494623655914,37,19
max_concentration_critical,47,47430,1,99,40,0.40404040404040403,39,20
max_concentration_critical,48,48439,1,91,37,0.4065934065934066,36,18
max_concentration_critical,49,49448,1,72,29,0.4027777777777778,29,14
